,NEW_STATUS,F0119,T0186,S1628,AGE_T_x,S0287,T0178,T0080,EARNALL,T0356,T0329,T0330,T0332,T0333,T0336,T0155,T0157,T0182,T0184,T0159,T0165,T0174,TOTEXPER_x
0,1,0.0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1,0,1,0,1,1,0,1,1,0,19
1,1,,0,1.0,1,1.0,,0.0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,4
2,1,1.0,0,0.0,0,0.0,1.0,1.0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,20
3,1,1.0,0,0.0,0,0.0,1.0,1.0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,2
4,1,1.0,0,1.0,0,1.0,1.0,0.0,0,2,0,0,0,0,0,1,1,0,1,1,1,1,16
5,1,,0,1.0,0,1.0,,1.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,8
6,1,0.0,0,,0,1.0,1.0,1.0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,7
7,1,1.0,0,1.0,0,1.0,1.0,0.0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,29
8,1,0.0,1,1.0,1,1.0,1.0,1.0,0,2,0,0,1,0,1,1,1,1,1,1,1,1,8
9,1,1.0,0,0.0,1,1.0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
10,1,1.0,1,0.0,0,1.0,1.0,1.0,0,2,1,1,1,0,0,0,1,1,1,0,1,0,26
11,1,1.0,0,,0,1.0,1.0,1.0,1,2,1,1,1,1,1,0,1,0,0,1,1,0,30
12,1,,0,1.0,1,1.0,1.0,1.0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,6
13,1,1.0,0,1.0,0,0.0,0.0,0.0,1,2,1,0,0,0,1,1,1,0,0,1,0,0,39
14,1,0.0,0,0.0,0,1.0,1.0,1.0,0,2,1,1,1,0,0,1,1,0,1,1,1,1,27
15,1,0.0,0,0.0,1,0.0,,0.0,1,2,1,1,1,1,1,0,1,0,1,0,1,0,1
16,1,1.0,0,0.0,0,0.0,1.0,0.0,1,2,0,0,1,0,1,1,1,0,0,1,0,0,12
17,1,0.0,0,1.0,0,0.0,1.0,0.0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,17
18,1,1.0,0,1.0,1,0.0,1.0,0.0,1,2,0,0,0,0,1,0,1,0,0,1,1,1,3
19,1,1.0,0,1.0,1,0.0,1.0,1.0,0,2,0,0,1,0,1,1,1,1,1,1,0,0,12
20,1,1.0,1,1.0,1,1.0,1.0,1.0,0,2,0,0,0,0,0,1,1,1,0,1,1,1,7
21,1,1.0,0,0.0,0,0.0,,1.0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,30
22,1,,0,0.0,1,0.0,1.0,0.0,1,2,0,0,1,0,0,1,1,0,1,1,1,0,5
23,1,0.0,0,1.0,0,1.0,,1.0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,11
24,1,1.0,0,1.0,0,1.0,1.0,1.0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,30
25,1,,0,0.0,0,0.0,1.0,,1,2,0,0,1,1,1,0,0,0,1,0,0,0,7
