,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330
1,1,1,1.0,0.0,1,1,1,1,1,4,1,5,5,1
3,1,0,0.0,1.0,1,1,0,1,1,2,1,50,22,2
9,1,1,1.0,0.0,1,0,0,0,0,3,1,0,6,3
12,1,1,1.0,1.0,1,0,0,0,1,6,2,1,20,4
15,1,1,0.0,0.0,1,1,1,0,1,1,2,10,10,2
18,1,1,0.0,0.0,1,0,0,1,1,3,2,5,5,3
22,1,1,0.0,0.0,1,0,0,1,1,5,2,3,6,4
30,1,1,1.0,0.0,1,0,0,1,1,1,1,0,12,4
32,1,1,1.0,0.0,1,1,0,0,1,4,2,2,0,2
35,1,0,1.0,1.0,1,0,0,0,1,6,2,2,4,3
37,1,1,0.0,0.0,1,0,0,1,1,4,2,5,10,4
39,1,1,1.0,0.0,1,1,0,0,1,5,2,4,6,1
57,1,1,0.0,0.0,1,0,0,0,1,2,2,1,5,4
58,1,1,0.0,,1,0,0,0,0,4,1,0,12,4
62,1,1,1.0,0.0,1,1,1,0,0,4,2,10,10,2
65,1,0,0.0,0.0,1,0,0,0,0,3,1,1,0,4
73,1,1,0.0,0.0,1,0,0,1,1,5,2,1,1,4
75,1,1,,1.0,1,0,0,0,1,3,2,0,5,4
82,1,1,0.0,1.0,1,0,0,1,0,3,2,7,7,4
85,1,1,0.0,0.0,1,0,0,1,1,2,2,0,22,4
96,1,1,0.0,0.0,1,1,0,1,1,2,2,0,10,1
101,1,1,0.0,0.0,1,1,1,1,1,5,2,0,5,1
103,1,0,0.0,0.0,1,1,0,1,1,5,2,3,20,2
107,1,0,1.0,0.0,1,0,0,0,0,1,2,3,25,3
111,1,1,0.0,0.0,1,0,0,0,1,4,2,1,1,4
114,1,1,0.0,0.0,1,0,0,1,1,3,1,0,25,3
119,1,1,0.0,1.0,1,1,1,0,1,2,2,5,19,1
120,1,1,1.0,0.0,1,0,0,1,1,1,2,3,12,3
121,1,1,1.0,0.0,1,0,0,1,1,2,2,2,10,4
125,1,0,0.0,1.0,0,1,1,1,0,2,2,3,5,2
129,1,0,0.0,0.0,0,1,1,0,0,4,1,6,7,1
133,1,1,0.0,1.0,1,1,1,1,1,5,1,19,10,2
137,1,1,0.0,0.0,1,1,1,0,0,4,2,0,2,2
138,1,0,1.0,1.0,0,0,1,0,0,6,1,12,10,1
149,1,1,0.0,0.0,1,0,0,1,1,6,2,5,5,3
151,1,1,1.0,0.0,1,1,0,1,1,2,2,5,3,2
154,1,1,1.0,1.0,1,0,0,1,0,1,2,10,10,3
156,1,0,0.0,0.0,1,0,0,1,1,3,1,12,2,4
159,1,0,0.0,,1,0,0,0,1,6,2,1,6,4
172,1,1,,1.0,1,1,0,0,0,1,1,5,15,2
178,1,0,0.0,,1,0,0,0,0,2,1,0,2,4
185,1,1,0.0,0.0,0,0,0,1,1,1,2,1,12,4
187,1,1,0.0,0.0,1,0,0,0,0,2,2,4,10,3
190,1,1,0.0,0.0,0,0,0,0,1,3,2,5,9,3
191,1,1,0.0,1.0,0,0,0,0,0,1,2,12,7,4
195,1,1,1.0,1.0,1,0,0,0,0,4,2,2,10,4
200,1,0,0.0,0.0,1,0,0,0,0,2,1,1,10,3
204,1,1,0.0,,0,0,1,0,1,1,1,4,1,3
205,1,1,1.0,0.0,1,0,0,1,0,5,2,5,12,4
207,1,1,0.0,0.0,1,0,0,0,0,5,2,10,0,3
209,1,1,0.0,1.0,1,0,0,1,1,5,2,0,2,4
213,1,1,1.0,0.0,1,0,0,0,1,4,2,0,2,4
218,1,1,0.0,0.0,1,0,0,1,1,1,1,2,3,4
221,1,1,0.0,0.0,1,1,1,0,1,5,1,33,12,1
222,1,0,0.0,,1,1,1,1,1,4,1,4,7,1
227,1,0,0.0,1.0,1,1,1,0,1,4,1,5,4,3
229,1,1,1.0,0.0,1,0,0,0,1,2,2,2,2,4
230,1,1,0.0,0.0,1,0,0,0,1,1,2,0,4,4
231,1,0,0.0,0.0,1,1,1,0,0,5,2,3,6,1
235,1,1,0.0,0.0,1,0,0,0,1,1,1,4,2,4
237,1,1,1.0,0.0,1,1,0,1,0,5,2,3,10,2
238,1,1,1.0,0.0,1,1,0,0,1,2,2,5,5,3
247,1,1,0.0,0.0,1,1,0,1,1,5,2,2,13,2
258,1,1,1.0,0.0,1,1,0,1,0,1,1,2,5,3
262,1,0,1.0,0.0,0,1,1,1,0,1,1,2,3,2
265,1,1,0.0,0.0,1,0,0,0,0,2,2,5,15,4
267,1,0,0.0,1.0,1,1,1,0,0,5,1,2,10,2
274,1,1,0.0,0.0,1,0,0,0,0,3,2,2,2,4
275,1,1,0.0,0.0,1,0,1,0,1,3,2,7,5,3
280,1,1,1.0,0.0,1,1,0,0,0,2,2,7,3,1
282,1,1,0.0,0.0,1,1,1,1,1,1,2,4,15,1
284,1,0,0.0,0.0,1,0,0,0,1,2,2,4,3,3
287,1,1,0.0,0.0,1,0,1,1,1,1,1,2,4,3
305,1,1,1.0,1.0,1,0,0,0,1,1,2,15,10,4
313,1,1,0.0,0.0,1,0,0,0,1,4,2,10,2,4
315,1,0,,0.0,1,1,1,1,1,5,2,3,5,2
316,1,1,0.0,0.0,1,0,0,1,1,4,1,0,9,4
317,1,1,0.0,1.0,0,0,0,0,0,4,1,1,4,3
318,1,1,0.0,0.0,1,0,0,1,0,6,2,5,18,2
322,1,1,0.0,0.0,1,0,0,0,1,6,1,3,4,3
323,1,1,0.0,0.0,1,0,1,0,0,6,1,15,10,3
331,1,0,,0.0,1,0,0,1,0,4,2,0,4,4
334,1,1,1.0,0.0,1,1,0,0,1,5,2,0,4,2
348,1,1,0.0,0.0,1,0,1,0,0,1,2,15,6,4
350,1,1,0.0,0.0,0,1,0,1,0,1,1,8,0,4
352,1,0,0.0,1.0,1,0,0,0,0,1,2,5,16,3
358,1,1,0.0,0.0,1,1,0,0,1,6,1,1,10,1
364,1,1,,0.0,1,0,0,1,1,1,2,4,3,3
366,1,1,0.0,1.0,1,1,0,1,1,6,2,2,3,2
372,1,0,0.0,1.0,1,0,0,1,1,4,2,8,20,4
375,1,1,,1.0,0,1,0,0,1,3,2,3,10,2
376,1,0,0.0,0.0,1,0,1,0,1,5,1,20,0,4
384,1,1,0.0,1.0,1,1,0,1,1,6,2,2,0,2
385,1,1,0.0,1.0,1,0,0,1,1,1,2,6,4,4
394,1,1,0.0,0.0,1,0,0,1,1,4,2,0,0,4
395,1,1,0.0,0.0,1,0,0,1,1,3,2,4,7,4
399,1,1,1.0,0.0,1,0,0,0,1,4,2,2,2,4
400,1,1,1.0,0.0,1,1,0,0,1,2,2,8,18,2
410,1,1,1.0,0.0,1,0,1,0,1,1,2,4,8,4
413,1,1,1.0,1.0,1,0,0,0,1,5,1,0,8,4
414,1,1,0.0,0.0,1,1,1,1,1,6,1,12,3,1
416,1,1,1.0,0.0,1,1,1,1,0,1,1,6,3,1
418,1,1,0.0,0.0,1,0,0,1,1,2,2,0,5,4
419,1,1,0.0,0.0,0,0,0,0,0,3,1,1,3,3
420,1,1,0.0,0.0,1,0,0,0,1,2,2,10,10,4
427,1,1,0.0,1.0,1,0,1,0,1,1,1,0,12,2
433,1,1,0.0,0.0,1,0,0,1,1,6,1,4,5,3
438,1,0,0.0,1.0,1,0,0,0,1,6,1,2,4,3
444,1,1,1.0,1.0,1,0,1,1,1,4,2,3,6,3
445,1,1,1.0,0.0,1,1,1,0,1,3,1,17,8,2
448,1,1,0.0,0.0,1,0,0,0,1,3,2,4,8,3
450,1,0,1.0,0.0,1,1,1,1,0,6,2,5,10,1
452,1,1,0.0,0.0,1,0,0,1,1,1,2,1,10,4
453,1,0,0.0,1.0,1,0,0,1,0,1,1,5,6,2
459,1,1,1.0,0.0,1,1,0,0,1,2,1,2,6,2
460,1,1,,0.0,1,0,0,1,0,4,2,2,6,4
461,1,1,0.0,0.0,1,1,0,0,0,4,2,0,7,2
464,1,1,0.0,0.0,1,1,0,1,1,3,2,3,6,2
466,1,1,1.0,1.0,1,0,0,1,1,5,2,2,8,4
467,1,0,1.0,0.0,1,0,0,1,0,6,2,3,20,4
468,1,0,0.0,0.0,1,0,0,1,1,1,2,4,10,3
470,1,1,1.0,0.0,1,1,1,1,1,2,2,5,15,2
474,1,1,,,1,0,1,0,1,1,1,1,2,3
480,1,0,1.0,0.0,1,0,0,1,0,1,2,0,2,3
483,1,0,0.0,0.0,1,0,0,0,1,2,2,2,30,3
485,1,1,1.0,0.0,1,1,0,0,1,3,1,3,4,2
488,1,1,1.0,0.0,1,0,0,0,1,6,2,2,10,4
489,1,1,0.0,1.0,1,0,0,0,1,4,1,5,10,4
495,1,0,0.0,0.0,1,0,0,0,0,5,2,2,22,3
497,1,1,1.0,1.0,0,0,0,0,1,6,2,1,10,4
498,1,1,1.0,0.0,0,0,0,1,1,6,2,6,7,4
500,1,1,1.0,0.0,1,0,0,1,1,1,1,0,2,4
508,1,1,0.0,1.0,0,1,0,1,1,5,1,3,4,3
510,1,1,1.0,0.0,1,0,0,1,1,5,2,0,4,4
514,1,1,1.0,0.0,1,0,0,0,0,6,2,5,4,3
518,1,1,0.0,0.0,1,0,0,1,1,2,1,0,6,4
523,1,1,0.0,0.0,1,0,0,1,1,5,1,5,15,3
524,1,1,0.0,0.0,1,0,0,1,0,1,2,5,10,4
526,1,0,1.0,0.0,1,1,1,0,0,3,1,5,10,1
529,1,1,0.0,0.0,1,1,0,1,0,4,1,10,10,1
534,1,0,0.0,0.0,1,1,0,1,0,3,1,5,14,2
538,1,1,0.0,1.0,1,1,1,1,0,2,2,9,3,2
548,1,1,0.0,0.0,1,1,1,0,0,1,2,5,12,1
550,1,1,0.0,0.0,1,0,0,0,1,2,2,2,8,4
551,1,1,0.0,0.0,1,0,0,0,0,5,2,0,7,4
558,1,0,1.0,1.0,1,1,1,0,1,6,2,4,12,2
560,1,1,1.0,0.0,1,1,1,0,0,2,2,4,5,2
563,1,1,0.0,0.0,1,0,0,0,1,5,2,1,15,4
564,1,1,0.0,0.0,1,1,0,0,1,3,2,2,3,2
566,1,1,0.0,1.0,1,0,0,0,0,5,2,3,8,4
570,1,1,,0.0,1,0,0,0,1,4,1,2,2,4
573,1,0,1.0,1.0,0,0,0,0,1,5,1,10,5,4
574,1,1,1.0,1.0,0,0,0,1,1,2,1,11,3,3
576,1,1,,0.0,1,1,1,1,1,3,2,25,12,1
