,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330
0,1,0,0.0,0.0,0,0,0,1,1,19,2,1,16,4
2,1,0,0.0,1.0,0,0,0,1,1,20,2,1,10,3
4,1,0,1.0,0.0,0,0,0,1,1,16,2,0,10,4
7,1,0,1.0,0.0,0,0,0,0,1,29,2,0,10,4
8,1,1,1.0,1.0,0,0,0,1,1,8,2,18,3,3
10,1,0,1.0,1.0,0,1,0,0,1,26,2,4,12,2
11,1,0,1.0,1.0,1,1,1,1,1,30,2,0,5,1
12,1,1,1.0,1.0,1,0,0,0,1,6,2,1,20,4
13,1,0,0.0,0.0,1,1,0,1,0,39,2,2,4,3
14,1,0,1.0,1.0,0,1,0,1,1,27,2,5,4,2
15,1,1,0.0,0.0,1,1,1,0,1,1,2,10,10,2
16,1,0,0.0,0.0,1,0,0,1,0,12,2,3,25,4
17,1,0,0.0,0.0,0,0,0,1,1,17,2,2,20,4
18,1,1,0.0,0.0,1,0,0,1,1,3,2,5,5,3
19,1,1,0.0,1.0,0,0,0,1,0,12,2,5,9,3
20,1,1,1.0,1.0,0,0,0,1,1,7,2,3,6,4
21,1,0,0.0,1.0,0,0,0,1,1,30,2,1,1,4
22,1,1,0.0,0.0,1,0,0,1,1,5,2,3,6,4
23,1,0,1.0,1.0,0,1,1,0,0,11,2,15,5,2
24,1,0,1.0,1.0,0,0,0,0,0,30,2,0,1,4
25,1,0,0.0,,1,0,1,0,0,7,2,5,1,3
27,1,0,0.0,1.0,0,0,0,0,1,25,2,3,6,4
29,1,0,1.0,0.0,1,0,0,0,1,12,2,2,8,3
32,1,1,1.0,0.0,1,1,0,0,1,4,2,2,0,2
35,1,0,1.0,1.0,1,0,0,0,1,6,2,2,4,3
36,1,0,1.0,1.0,0,1,0,0,1,32,2,2,5,3
37,1,1,0.0,0.0,1,0,0,1,1,4,2,5,10,4
38,1,0,1.0,0.0,1,0,0,0,0,34,2,0,2,4
