,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330,YOUNG
1,1,1,1.0,0.0,1,1,1,1,1,4,1,5,5,1,1.0
3,1,0,0.0,1.0,1,1,0,1,1,2,1,50,22,2,
5,1,0,1.0,1.0,0,0,1,0,1,8,1,0,0,3,0.0
6,1,0,1.0,1.0,0,1,1,1,1,7,1,6,7,1,0.0
9,1,1,1.0,0.0,1,0,0,0,0,3,1,0,6,3,1.0
26,1,0,0.0,1.0,0,0,1,0,1,13,1,15,3,3,0.0
28,1,0,1.0,1.0,0,1,0,0,0,35,1,8,5,2,
30,1,1,1.0,0.0,1,0,0,1,1,1,1,0,12,4,1.0
31,1,0,1.0,0.0,0,1,0,0,0,31,1,19,10,2,
33,1,1,0.0,0.0,1,0,0,0,0,7,1,10,3,4,0.0
34,1,0,0.0,1.0,1,0,1,1,0,14,1,10,2,3,
46,1,0,0.0,1.0,0,0,1,0,0,33,1,15,5,2,
49,1,0,0.0,1.0,0,1,0,1,0,30,1,0,3,2,
50,1,0,,0.0,1,1,0,0,1,26,1,0,10,2,
52,1,0,0.0,1.0,0,1,1,1,1,34,1,3,10,3,
55,1,0,1.0,1.0,0,0,0,0,1,35,1,10,2,3,
56,1,1,0.0,1.0,0,1,0,1,1,13,1,3,5,2,0.0
58,1,1,0.0,,1,0,0,0,0,4,1,0,12,4,1.0
59,1,0,0.0,1.0,0,0,0,1,1,18,1,10,2,3,0.0
60,1,0,1.0,1.0,0,0,0,0,1,35,1,0,5,3,
63,1,0,1.0,1.0,0,0,0,0,1,33,1,1,5,2,
65,1,0,0.0,0.0,1,0,0,0,0,3,1,1,0,4,0.0
67,1,0,1.0,1.0,0,0,0,1,0,32,1,2,14,4,
68,1,0,1.0,1.0,0,0,0,0,0,26,1,2,0,4,
69,1,0,0.0,1.0,0,1,0,1,0,31,1,7,0,2,
77,1,0,0.0,1.0,0,0,0,1,1,18,1,4,5,4,0.0
79,1,0,1.0,1.0,0,0,0,0,0,32,1,3,1,3,
80,1,0,0.0,0.0,0,1,0,0,0,40,1,0,15,3,
81,1,0,0.0,1.0,0,0,0,1,0,32,1,9,5,3,
86,1,0,0.0,1.0,1,0,0,0,1,33,1,0,3,4,
90,1,0,0.0,1.0,0,0,0,0,0,27,1,1,10,4,
91,1,0,1.0,1.0,0,1,1,0,0,19,1,4,5,2,0.0
93,1,0,1.0,1.0,0,1,0,0,1,37,1,10,8,3,
95,1,0,,1.0,0,0,0,1,0,27,1,1,12,3,
97,1,0,1.0,1.0,0,1,1,0,1,31,1,10,3,1,
99,1,0,0.0,0.0,1,0,0,0,0,26,1,0,20,3,
106,1,0,1.0,0.0,0,0,0,0,1,30,1,7,4,4,
108,1,0,0.0,0.0,1,1,0,0,1,7,1,4,5,2,0.0
110,1,0,0.0,0.0,0,1,0,0,0,33,1,10,0,2,
113,1,0,0.0,1.0,0,0,0,0,0,38,1,5,15,4,
114,1,1,0.0,0.0,1,0,0,1,1,3,1,0,25,3,1.0
117,1,0,1.0,1.0,0,0,0,0,1,35,1,5,8,3,
118,1,0,1.0,1.0,0,0,0,0,1,34,1,2,4,3,
123,1,0,0.0,1.0,0,0,0,1,1,36,1,1,19,4,
126,1,0,0.0,1.0,0,0,0,1,0,37,1,1,1,3,
127,1,0,0.0,1.0,0,1,1,0,0,33,1,30,15,2,
