,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0278,T0277,T0330
LEAVER,1.0,-0.197408237522838,0.07237069974756026,0.1155584238591591,-0.13930794914232628,0.14388896174713942,0.11072918762635307,-0.04742934538080842,-0.042768676898634415,0.34081115782007065,0.06185092952534837,-0.009664591444007067,-0.16178135853959924
AGE,-0.197408237522838,1.0,0.01431192182658334,-0.2404840472021869,0.41217892443802273,0.04560378386999184,-0.02388000430500779,-0.055743148122705505,-0.00472908028013443,-0.7059040788777415,0.024197313018114792,-0.08311395204480393,-0.012797581666985925
S0287,0.07237069974756026,0.01431192182658334,1.0,0.040368006594511494,-0.0809375576939897,0.10551556634321967,-0.032684327745913434,-0.04186545703554033,-0.0010547748775612694,0.025333187904829656,0.04432837104599396,0.08904358030064365,-0.11381614129433583
T0080,0.1155584238591591,-0.2404840472021869,0.040368006594511494,1.0,-0.36887119471695284,-0.007245363312766493,0.007918776396720483,0.045443513422311926,0.03341834911920368,0.30577913816381574,0.000849441525187651,-0.00267162700875743,-0.010776792673214434
SALARY,-0.13930794914232628,0.41217892443802273,-0.0809375576939897,-0.36887119471695284,1.0,0.015813101768735453,-0.017700149824327795,-0.06970341246541441,-0.035427740522885456,-0.5411896715755562,-0.043284194718639785,-0.07381207600758528,0.013556242118524367
T0329,0.14388896174713942,0.04560378386999184,0.10551556634321967,-0.007245363312766493,0.015813101768735453,1.0,0.46139524013345945,-0.100185244438609,-0.07622977694346228,-0.012243191653504595,0.19256571281297552,0.01051621997921257,-0.796711406016308
T0333,0.11072918762635307,-0.02388000430500779,-0.032684327745913434,0.007918776396720483,-0.017700149824327795,0.46139524013345945,1.0,-0.05693418714226455,-0.048449087689973046,0.018218680281415076,0.25567719070119665,0.0029312997852660727,-0.5470879312392815
T0159,-0.04742934538080842,-0.055743148122705505,-0.04186545703554033,0.045443513422311926,-0.06970341246541441,-0.100185244438609,-0.05693418714226455,1.0,0.17848715164522336,0.05113853226757566,-0.016764302041395254,0.07204749553533524,0.10550786208754392
T0165,-0.042768676898634415,-0.00472908028013443,-0.0010547748775612694,0.03341834911920368,-0.035427740522885456,-0.07622977694346228,-0.048449087689973046,0.17848715164522336,1.0,0.0038209273425467865,0.006533084259406245,0.037748612291244744,0.0645843606891076
EXPER,0.34081115782007065,-0.7059040788777415,0.025333187904829656,0.30577913816381574,-0.5411896715755562,-0.012243191653504595,0.018218680281415076,0.05113853226757566,0.0038209273425467865,1.0,-0.007448734972340788,0.0433051479058936,-0.012983702551264902
T0278,0.06185092952534837,0.024197313018114792,0.04432837104599396,0.000849441525187651,-0.043284194718639785,0.19256571281297552,0.25567719070119665,-0.016764302041395254,0.006533084259406245,-0.007448734972340788,1.0,0.0645388389950072,-0.2625206389593184
T0277,-0.009664591444007067,-0.08311395204480393,0.08904358030064365,-0.00267162700875743,-0.07381207600758528,0.01051621997921257,0.0029312997852660727,0.07204749553533524,0.037748612291244744,0.0433051479058936,0.0645388389950072,1.0,-0.01427962198184148
T0330,-0.16178135853959924,-0.012797581666985925,-0.11381614129433583,-0.010776792673214434,0.013556242118524367,-0.796711406016308,-0.5470879312392815,0.10550786208754392,0.0645843606891076,-0.012983702551264902,-0.2625206389593184,-0.01427962198184148,1.0
