,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0278,T0277,T0330,YOUNG
LEAVER,1.0,-0.28995770468094034,0.024445008165338275,0.19637955961510625,-0.2195516935665949,0.08844523586338372,0.06311434297972372,-0.10682408422935033,-0.07419100765581865,0.39642632573037095,0.052835725087199206,-0.042408196409916984,-0.10127609157639285,-0.049486161413634815
AGE,-0.28995770468094034,1.0,-0.04258921178332529,-0.3373385525833126,0.43507821769799476,0.028629890193573933,-0.014283561088276999,0.07823980542157437,0.06128117952357217,-0.7016819461802507,-0.006807589672894135,0.016469117057231693,-0.02335769292803311,0.4878136770981688
S0287,0.024445008165338275,-0.04258921178332529,1.0,0.10337462860271793,-0.15999903649678257,0.06271617410911266,-0.1321491644306266,-0.05104487108594961,-0.07133722375660931,0.10195006108313769,0.04856021656435025,0.06109829701138742,-0.08870343708249849,0.02103112612844785
T0080,0.19637955961510625,-0.3373385525833126,0.10337462860271793,1.0,-0.38391039247441294,0.01619961619164916,-0.031981756105955876,-0.035428832682800865,0.00010121734226622307,0.3676422637203842,0.049804939293525495,0.00939882825570174,-0.0192056969043634,-0.287492075670828
SALARY,-0.2195516935665949,0.43507821769799476,-0.15999903649678257,-0.38391039247441294,1.0,-0.02129944821617275,-0.023787990306258746,0.05675052876096601,0.04200150046794349,-0.5626617354741281,-0.09964749666131728,0.00912927935897344,0.05019900287966606,0.3055437531023026
T0329,0.08844523586338372,0.028629890193573933,0.06271617410911266,0.01619961619164916,-0.02129944821617275,1.0,0.32236279321792644,-0.07545910692173831,0.0038265663001311066,0.016951489008698455,0.13390697134268117,0.03708130234536411,-0.7317672154041448,0.009142824045540579
T0333,0.06311434297972372,-0.014283561088276999,-0.1321491644306266,-0.031981756105955876,-0.023787990306258746,0.32236279321792644,1.0,-0.037385112921113774,0.02734540583580712,-0.026312932666783466,0.2071510401936587,0.05524014550894136,-0.4513875537603286,-0.0330581346820319
T0159,-0.10682408422935033,0.07823980542157437,-0.05104487108594961,-0.035428832682800865,0.05675052876096601,-0.07545910692173831,-0.037385112921113774,1.0,0.17421595760635783,-0.0889562857379728,-0.06327344053851068,0.06424861285518428,0.08120795071350104,0.020294364911399094
T0165,-0.07419100765581865,0.06128117952357217,-0.07133722375660931,0.00010121734226622307,0.04200150046794349,0.0038265663001311066,0.02734540583580712,0.17421595760635783,1.0,-0.09601390115992818,0.005710270326163617,0.048235409775253514,-0.014080200610788218,-0.08272216375144673
EXPER,0.39642632573037095,-0.7016819461802507,0.10195006108313769,0.3676422637203842,-0.5626617354741281,0.016951489008698455,-0.026312932666783466,-0.0889562857379728,-0.09601390115992818,1.0,0.05332448826816757,-0.05200622516441149,0.001745357833731945,-0.5088336398133027
T0278,0.052835725087199206,-0.006807589672894135,0.04856021656435025,0.049804939293525495,-0.09964749666131728,0.13390697134268117,0.2071510401936587,-0.06327344053851068,0.005710270326163617,0.05332448826816757,1.0,0.10737429581417562,-0.21976261004623623,-0.045613800497665356
T0277,-0.042408196409916984,0.016469117057231693,0.06109829701138742,0.00939882825570174,0.00912927935897344,0.03708130234536411,0.05524014550894136,0.06424861285518428,0.048235409775253514,-0.05200622516441149,0.10737429581417562,1.0,-0.05487877694359446,0.03224088623732459
T0330,-0.10127609157639285,-0.02335769292803311,-0.08870343708249849,-0.0192056969043634,0.05019900287966606,-0.7317672154041448,-0.4513875537603286,0.08120795071350104,-0.014080200610788218,0.001745357833731945,-0.21976261004623623,-0.05487877694359446,1.0,0.02027133350216951
YOUNG,-0.049486161413634815,0.4878136770981688,0.02103112612844785,-0.287492075670828,0.3055437531023026,0.009142824045540579,-0.0330581346820319,0.020294364911399094,-0.08272216375144673,-0.5088336398133027,-0.045613800497665356,0.03224088623732459,0.02027133350216951,1.0
