,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0278,T0277,T0330,YOUNG
LEAVER,1.0,-0.2262442328090373,0.0638864052424773,0.1428373596930978,-0.17381814333285997,0.1370936785533331,0.10437641724473234,-0.07322767754661831,-0.05846992484023082,0.36146513442618833,0.06860980623436734,-0.028986568323345972,-0.15741280153635392,-0.06693841243430564
AGE,-0.2262442328090373,1.0,-0.005049643973906238,-0.2698958788848381,0.41726899701560904,0.036873496739194295,-0.02234801984223513,-0.013851010865293686,0.016952507433791984,-0.7032898011583903,0.009739480833809079,-0.052768736802792725,-0.01238512087316505,0.5383486391845559
S0287,0.0638864052424773,-0.005049643973906238,1.0,0.06303421486543682,-0.11750681064543492,0.10524291724979104,-0.053292066257673826,-0.05231618396801433,-0.029672559026114393,0.055621544127900935,0.058056540012320176,0.06854292666712739,-0.12325279721160376,0.03002082549635815
T0080,0.1428373596930978,-0.2698958788848381,0.06303421486543682,1.0,-0.3748960411698165,0.006818735637648222,-0.00029955057654592904,0.017315610452187085,0.02016767125786702,0.3268917805641034,0.024893307704206356,-0.0038065020268582463,-0.021104639873546802,-0.2804766156383437
SALARY,-0.17381814333285997,0.41726899701560904,-0.11750681064543492,-0.3748960411698165,1.0,-0.020186334947093647,-0.039416877415892795,-0.01664219045118947,-0.00043383497089853314,-0.5492032108291192,-0.08331370024416172,-0.03205581720340052,0.05388673004575979,0.28369155517979827
T0329,0.1370936785533331,0.036873496739194295,0.10524291724979104,0.006818735637648222,-0.020186334947093647,1.0,0.4238984411366721,-0.10704650853859801,-0.060620297876591345,0.006775512630598235,0.18772535835875404,-0.0031603135071375265,-0.7817126111137158,0.02950975151482146
T0333,0.10437641724473234,-0.02234801984223513,-0.053292066257673826,-0.00029955057654592904,-0.039416877415892795,0.4238984411366721,1.0,-0.06365176955151304,-0.03160561735670139,0.009004526902838265,0.25014417893155355,0.0011462507574933097,-0.5260126214381141,-0.010204618655979773
T0159,-0.07322767754661831,-0.013851010865293686,-0.05231618396801433,0.017315610452187085,-0.01664219045118947,-0.10704650853859801,-0.06365176955151304,1.0,0.18288762725212812,0.0005083698982067829,-0.04802067371631891,0.08098351159477818,0.11702304854594009,-0.068136391629175
T0165,-0.05846992484023082,0.016952507433791984,-0.029672559026114393,0.02016767125786702,-0.00043383497089853314,-0.060620297876591345,-0.03160561735670139,0.18288762725212812,1.0,-0.03347616730588393,-0.004585335818965725,0.04927965071062738,0.05507272031364049,-0.04525461397406058
EXPER,0.36146513442618833,-0.7032898011583903,0.055621544127900935,0.3268917805641034,-0.5492032108291192,0.006775512630598235,0.009004526902838265,0.0005083698982067829,-0.03347616730588393,1.0,0.024717758106492137,0.007800736350492051,-0.019062089900444206,-0.5473272270258944
T0278,0.06860980623436734,0.009739480833809079,0.058056540012320176,0.024893307704206356,-0.08331370024416172,0.18772535835875404,0.25014417893155355,-0.04802067371631891,-0.004585335818965725,0.024717758106492137,1.0,0.0587149034032346,-0.2654168585412204,0.006131843035564933
T0277,-0.028986568323345972,-0.052768736802792725,0.06854292666712739,-0.0038065020268582463,-0.03205581720340052,-0.0031603135071375265,0.0011462507574933097,0.08098351159477818,0.04927965071062738,0.007800736350492051,0.0587149034032346,1.0,0.0024911026945079614,0.0015809918921230446
T0330,-0.15741280153635392,-0.01238512087316505,-0.12325279721160376,-0.021104639873546802,0.05388673004575979,-0.7817126111137158,-0.5260126214381141,0.11702304854594009,0.05507272031364049,-0.019062089900444206,-0.2654168585412204,0.0024911026945079614,1.0,-0.01303697885020386
YOUNG,-0.06693841243430564,0.5383486391845559,0.03002082549635815,-0.2804766156383437,0.28369155517979827,0.02950975151482146,-0.010204618655979773,-0.068136391629175,-0.04525461397406058,-0.5473272270258944,0.006131843035564933,0.0015809918921230446,-0.01303697885020386,1.0
